company,ipo,founding
SYSTEM INDUSTRIES,19800905,1968
ISC SYSTEMS,19800916,1977
MID PACIFIC AIRLINES,19800916,1979
SAT TEL ASSOC RESOURCES,19800918,1978
OXYGEN ENRICHMENT,19800923,1974
EAGLE EXPLORATION,19800924,1979
INT'L POWER MACHINES,19800925,1967
TACOMA BOATBLDG,19800930,1947
BDM INTERNATIONAL,19801003,1979
AM CABLE TV,19801007,1974
TEAM,19801007,1973
KLA INSTRUMENTS,19801008,1975
GENENTECH,19801014,1976
YANKEE OIL,19801015,1977
XICOR,19801028,1978
AMERICAN METALS,19801029,1968
NETWORK SYSTEMS,19801103,1974
HEALTH INFORMATION,19801106,1978
PEOPLE EXPRESS,19801106,1980
AMPECO,19801112,1975
STEIGER TRACTOR,19801113,1969
SECURITY AMERICA,19801120,1980
ADVEST,19801121,1977
SAXON OIL,19801126,1968
MOVIE SYSTEMS,19801202,1975
NIKE,19801202,1968
SEA GALLEY,19801202,1979
DRECO ENERGY,19801203,1950
K-TRON,19801203,1964
MIDWAY AIRLINES,19801204,1979
BSD MEDICAL,19801209,1978
APPLE COMPUTER,19801212,1977
UNIV COMMUNICATION,19801215,1969
C3,19801216,1968
RATLIFF DRILLING,19801216,1968
DECA ENERGY,19801217,1980
DRILLERS,19801217,1980
BELLWETHER,19801218,1980
ZENTEC,19801218,1973
DELMED,19801223,1974
INTELLIGENT SYSTEMS,19801231,1973
ISSC INDL SOLID ST CTL,19810106,1962
MATRIX SCIENCE,19810107,1960
NUTRI/SYSTEM,19810108,1976
PARTNERS OIL,19810108,1980
DIAGNOSTIC/RETRIEVAL,19810122,1968
DYSAN,19810127,1972
CHEM-TRONICS,19810129,1953
SILICON SYSTEMS,19810129,1972
ENTERPRISE RADIO,19810203,1980
VERNA,19810203,1975
SOUTH TEXAS DRILLING,19810204,1979
INTER-TEL,19810205,1969
RENAL DEVICES,19810205,1977
TANDON,19810211,1976
SCIENTIFIC LEASING,19810217,1968
ELECTRO-BIOLOGY,19810218,1975
FUNDSNET,19810218,1980
NEW YORK AIR,19810220,1980
NAHAMA & WEAGANT,19810224,1971
C-COR ELECTRONICS,19810226,1953
C-COR ELECTRONICS,19810226,1953
WILLIAMS ELECTRONICS,19810226,1974
CONSOLIDATED PETROLEUM,19810304,1978
AUTOCLAVE ENGINEERS,19810305,1946
CETUS,19810306,1971
DELTA DRILLING,19810317,1931
SAGE DRILLING,19810317,1950
TIMES FIBER,19810318,1977
OBJECT RECOGNITION,19810319,1972
DURALITH,19810324,1942
HEI,19810324,1968
INT'L INSTITUTE (MED),19810324,1980
TECHNOLOGY MARKETING,19810324,1969
SEI,19810325,1968
EMULEX,19810326,1979
INFOTRON SYSTEMS,19810326,1968
VENTREX LABS,19810326,1976
AMERICAN FIBER OPTICS,19810401,1980
DELTA NATURAL GAS,19810401,1949
STERLING PIPE & SUPPLY,19810401,1976
INTERGRAPH,19810407,1969
ULTIMATE CORPORATION,19810407,1978
EIL INSTRUMENTS,19810408,1970
GERBER SYSTEMS,19810408,1979
KENCOPE ENERGY,19810408,1965
MANAGEMENT SCIENCE,19810408,1900
PRAIRIE PRODUCING,19810408,1964
EXPLORATION SURVEYS,19810409,1979
INTERMAGNETICS GENERAL,19810413,1971
COMPUTER MAGNETICS,19810414,1980
BIW CABLE SYSTEMS,19810415,1905
COMPUTER ENTRY,19810415,1969
INTERTEC DATA,19810416,1973
PIZZA TIME THEATRE,19810416,1978
SILICON ELECTRO-PHYSIC,19810416,1975
DORADO MICRO SYSTEMS,19810421,1977
GREATWEST HOSPITALS,19810422,1981
SWIFT INDEPENDENT,19810422,1980
DAWSON GEOPHYSICAL,19810423,1952
ENERSERV PRODUCTS,19810423,1976
ENS BIOLOGICALS,19810423,1978
TELESPHERE INT'L,19810423,1979
CHILDREN'S PLACE,19810428,1972
CRAWFORD ENERGY,19810428,1973
IKE LOVELADY,19810429,1978
NELSON RESEARCH,19810430,1972
DATA I/O,19810505,1969
WOMETCO CABLE TV,19810505,1971
NORPAC EXPLORATION SERVICES,19810506,1967
AMERICAN DIAGNOSTICS,19810507,1972
VIRATEK,19810507,1980
ADVANCED SEMICONDUCTOR MAT,19810512,1968
INTERFERON SCIENCES,19810512,1980
INTERPHARM LABS,19810512,1978
IPL SYSTEMS,19810512,1973
READING AVIATION,19810512,1946
CABLE TV INDUSTRIES,19810513,1976
INPUT BUSINESS MACH'S,19810513,1970
MOUNTAIN MEDICAL EQUIP,19810513,1978
NOVAR ELECTRONICS,19810513,1963
ASTRO DRILLING,19810514,1974
THORATEC LABS,19810514,1976
SKIPPER'S,19810519,1978
BALCO ENERGY,19810520,1958
SEVEN OAKS INT'L,19810522,1971
RIBI IMMUNOCHEM,19810527,1981
CIBOLA ENERGY,19810528,1978
ULTRA-SYSTEMS,19810528,1969
UNITEL VIDEO,19810528,1969
BARTON VALVE,19810602,1961
DETECTOR ELECTRONICS,19810602,1973
BONRAY DRILLING,19810604,1957
KIMBARK OIL & GAS,19810604,1949
L.B. FOSTER,19810609,1902
LIZ CLAIBORNE,19810609,1976
SOFTWARE AG,19810609,1973
DREYER'S ICE CREAM,19810611,1928
S.A.L. CABLE COMMUNIC.,19810612,1974
GEOPHYSICAL SYSTEMS,19810617,1972
KLOSS VIDEO,19810617,1977
ALPHA MICROSYSTEMS,19810618,1977
OCILLA INDUSTRIES,19810618,1969
KYLE TECHNOLOGY,19810619,1976
MICOM SYSTEMS,19810619,1973
FAFCO,19810623,1972
FIRST MATAGORDA,19810623,1978
ROLFITE COMPANY,19810624,1970
TEMPLETON ENERGY,19810624,1981
UNITED MEDICAL,19810625,1972
HBO & COMPANY,19810630,1974
ALLEGHENY & WESTERN,19810701,1981
KELLY-JOHNSTON ENTERPR,19810701,1977
LIEBERT,19810701,1965
ZONIC,19810702,1970
UNIVERSAL HEALTH SVCS.,19810709,1978
ODETICS,19810714,1969
COMAIR,19810716,1977
OMNICARE,19810716,1977
AMPLICA,19810722,1972
COMTEX SCIENTIFIC,19810722,1980
BIOSEARCH MEDICAL,19810724,1975
BEDFORD COMPUTER,19810728,1975
GREAT EASTERN ENERGY,19810728,1978
ICO,19810729,1970
SEIS PROS,19810730,1977
MONOCLONAL ANTIBODIES,19810804,1979
GEOPHYSICAL FIELD SURV,19810805,1972
PACO PHARMACEUTICAL,19810805,1974
PANSOPHIC SYSTEMS,19810805,1969
TECHAMERICA GROUP,19810806,1971
SYSTEMATICS,19810812,1967
BELL PETROLEUM,19810813,1969
GREAT OUTDOOR AM ADVEN,19810818,1974
SOUTHERN MEDIC & PHARM,19810818,1979
INTEGRITY FIN'L GROUP,19810819,1968
NCA,19810827,1970
SOFTECH,19810827,1969
