company,ipo,founding
Western Gas Resources,19891208,1977
Berlitz International,19891213,1966
First Brands,19891213,1977
American Capital and Research,19891214,1969
G-III Apparel Group,19891214,1974
Giant Industries,19891214,1969
Great Southern Bancorp,19891214,1989
Home Nutritional Services,19891214,1980
Midwesco Filter Resources,19891214,1982
PolyGram,19891214,1962
Borland International,19891219,1983
Keegan Management,19891220,1980
Ramsay-HMO,19891220,1977
Exide Electronics Group,19891221,1962
MIPS Computer Systems,19891221,1984
Martech USA,19891221,1974
CM Communications,19900111,1986
MAF Bancorp,19900112,1922
Biomechanics of America,19900117,1984
Millfeld Trading Co,19900119,1978
Roberts Pharmaceutical,19900123,1982
Twin Star Productions,19900124,1987
Summit Financial,19900125,1989
TriCare,19900126,1976
Hadson Energy Resources,19900131,1986
I-Flow,19900201,1985
Henley International,19900202,1976
Cabot Oil & Gas,19900207,1900
US Bioscience Inc.,19900208,1987
Xenejenex,19900209,1988
Reader's Digest Association,19900214,1926
Intera Information Tech,19900215,1974
Cisco Systems,19900216,1984
Digital Sound,19900227,1977
Capucino's,19900228,1989
TEPPCO Partners LP,19900228,1989
Hologic,19900301,1985
Integrated Systems,19900306,1980
Sequoia Systems,19900306,1981
CII Financial,19900307,1988
"Interneuron Pharmaceuticals,",19900308,1988
Santa Fe Energy Resources,19900308,1971
Delphi Financial Group,19900313,1987
Tuboscope,19900313,1937
Verifone,19900313,1981
Medical Nutrition,19900314,1981
Viking Office Products,19900314,1960
Bankers,19900316,1900
DeVlieg-Bullard,19900316,1986
NDC Automation,19900321,1982
Tokos Medical,19900326,1983
Geneva Steel,19900327,1987
Medicis Pharmaceutical,19900328,1987
Syntellect,19900329,1984
International Airlines Support,19900402,1982
TETRA Technologies,19900403,1981
Pinkerton's,19900404,1947
Pharmacy Management Services,19900405,1965
MedGroup,19900406,1985
Advanced Logic Research,19900411,1984
RMI Titanium Co,19900412,1950
Sanifill,19900412,1984
Craftmade International,19900417,1985
Pool Energy Services,19900417,1948
Sullivan Dental Products,19900418,1980
Granite Construction,19900420,1922
BE Avionics,19900423,1979
Orbital Sciences,19900424,1982
Fingerhut,19900425,1948
Home Federal Savings Bank MO,19900425,1950
Safeway,19900425,1926
Wahlco Environmental Systems,19900425,1972
JMAR Industries,19900426,1987
STOR Furnishings International,19900427,1986
Telebit,19900427,1982
American Biogenetic Sciences,19900501,1983
Aspect Telecommunications,19900501,1985
IG Laboratories,19900502,1986
Immune Response,19900502,1986
Dynasty Classics,19900503,1986
ACTV Inc.,19900504,1983
CMS/DATA,19900508,1978
Lidak Pharmaceuticals,19900508,1988
RasterOps,19900509,1987
Integrated Waste Services,19900514,1986
Club-Theatre Network,19900515,1985
Fountain Pharmaceuticals,19900515,1989
Pinnacle Environmental,19900517,1989
Mid-American Waste Systems,19900518,1985
HealthInfusion,19900523,1988
Chiles Offshore,19900524,1980
Curragh Resources,19900524,1987
Mr. Coffee,19900531,1975
K-Swiss,19900604,1966
Fleer Corp,19900605,1913
Gensia Pharmaceuticals,19900605,1986
Digital Systems International,19900608,1980
NSC,19900612,1976
Xilinx,19900612,1984
Helix BioCore,19900613,1987
Transatlantic Holdings,19900615,1953
Gamma International,19900621,1988
"CFSB Bancorp, Inc.",19900622,1900
AICorp,19900625,1975
Arctco,19900626,1982
Benchmark Electronics,19900628,1979
Crest Industries,19900629,1985
Horsehead Resource Development,19900629,1986
Micrografx,19900629,1982
Sundowner Offshore Services,19900629,1985
Swift Transportation,19900629,1966
Vidmark,19900629,1984
Wet Seal,19900703,1962
Orthopedic Services,19900710,1952
Winners Circle,19900710,1983
Foundation Health,19900711,1978
Environmental Elements,19900713,1946
Alias Research,19900717,1983
Command Security Corp,19900719,1980
In-Store Advertising,19900719,1986
MECA Software,19900719,1987
Modtech,19900719,1982
O'Charley's,19900719,1983
Wisconsin Pharmacal,19900719,1900
BJ Services,19900720,1900
Trimble Navigation,19900720,1978
IKOS Systems,19900725,1985
Offshore Pipelines,19900725,1984
VIMRx Pharmaceuticals,19900725,1986
Banner Aerospace,19900726,1973
Coho Resources,19900726,1980
Allied Clinical Laboratories,19900731,1985
Pit Stop Auto Centers,19900731,1987
Bird Medical Technologies,19900801,1984
Prime Cellular,19900802,1990
Vintage Petroleum,19900803,1983
Easel,19900809,1981
Omega Health Systems,19900809,1984
DynaGen,19900810,1988
Celebrity Resorts,19900814,1987
Lunar,19900814,1974
Gerrity Oil and Gas Corp.,19900815,1985
Marcam,19900816,1980
Regenex,19900816,1989
Failure Group,19900817,1967
Radius,19900820,1986
GB Foods,19900821,1987
Vital Signs,19900829,1972
Rocky Mountain Helicopters,19900911,1970
First Seismic,19900918,1983
Pamida Holdings,19900918,1969
Grant Norpac,19900919,1935
Ringer,19900919,1961
Matrix Service,19900926,1984
American Waste Services,19901004,1986
Universal International,19901012,1956
Pamet Systems,19901101,1987
Northrim Bank,19901105,1990
Rochester Medical,19901105,1988
Triple Threat Enterprises,19901121,1990
Everest Medical,19901206,1983
Digital Biometrics,19901207,1985
Car Mart,19901211,1988
Express Cash International,19901212,1988
Air-Cure Environmental,19901214,1990
Health Risk Management,19901219,1977
In Focus Systems,19901220,1986
IPS Health Care,19910116,1990
ALTA Health Strategies,19910122,1969
MBNA,19910122,1990
Cygnus Therapeutic Systems,19910131,1985
Health Management Associates,19910205,1979
National Medical Waste,19910206,1989
Advanced Photonix,19910211,1988
Zilog,19910227,1984
Sonic,19910228,1974
Simtek,19910306,1986
Community Health Systems,19910307,1985
Total Pharmaceutical Care,19910307,1984
Pac Rim Holding,19910308,1987
R&B,19910312,1978
Destec Energy,19910314,1983
Atmel,19910319,1984
Maverick Tube,19910319,1977
Seismed Instruments,19910320,1987
Somanetics,19910320,1982
TakeCare,19910320,1978
Aphton,19910321,1981
Citation Insurance Group,19910321,1981
Symix Systems,19910321,1979
AMSCO International,19910326,1902
CareNetwork,19910326,1985
Medical Marketing Group,19910326,1987
AutoZone,19910401,1979
Input/Output,19910401,1968
Regeneron Pharmaceuticals,19910402,1988
Laser Vision Centers,19910403,1988
Value Health,19910404,1987
LXE,19910411,1978
Sport Supply Group,19910412,1972
Coventry,19910416,1986
Brooktree,19910417,1981
Platinum Technology,19910418,1987
Rentech,19910418,1981
Credit Depot,19910419,1986
Leslie's Poolmart,19910419,1963
United American Healthcare,19910423,1985
Caldor,19910424,1986
Outlook Graphics,19910424,1977
Sierra Semiconductor,19910424,1983
Cephalon,19910425,1987
Education Alternatives,19910425,1986
First Cash,19910425,1988
Integrated Health Services,19910425,1986
Ross Systems,19910425,1972
Xyplex,19910425,1981
Ballistivet,19910430,1983
Filene's Basement,19910430,1908
Quantum Health Resources,19910430,1988
Duracell International,19910501,1935
Applied Immune Sciences,19910502,1982
Homedco Group,19910502,1970
Chipcom,19910503,1983
MedImmune,19910508,1987
Haemonetics,19910509,1971
Hi-Lo Automotive,19910509,1956
OESI Power,19910510,1986
Excel Technology,19910513,1985
OW Office Warehouse,19910514,1988
Star Multi Care Services,19910514,1961
Carlisle Plastics,19910515,1958
Jones Apparel Group,19910515,1970
AnnTaylor Stores,19910516,1954
Danek Group,19910516,1983
Ropak Laboratories,19910516,1985
FA Tucker Group,19910517,1951
Isis Pharmaceuticals,19910517,1989
Vigoro,19910520,1964
Computer Petroleum,19910521,1979
Wisconsin Central,19910521,1900
ImmuLogic Pharmaceutical,19910522,1987
BWIP Holding,19910523,1957
Envoy,19910523,1981
State of the Art,19910523,1981
Beverly Hills Fan,19910531,1983
Wheatley TXT,19910531,1919
Moorco International,19910604,1933
Proteon,19910604,1974
Cherokee,19910605,1988
Lifetime Hoan,19910605,1945
Rag Shops,19910605,1963
US HomeCare,19910605,1986
Applied Extrusion Technologies,19910606,1986
Au Bon Pain,19910606,1981
Cambridge Neuroscience,19910606,1985
ICOS,19910606,1989
Value City Department Stores,19910610,1917
AudioScience,19910611,1988
Pulse Engineering,19910611,1957
Qual-Med,19910611,1985
Quarterdeck Office Systems,19910611,1982
Valley Systems,19910611,1973
Genelabs Technologies,19910613,1983
Glycomed,19910613,1987
American Dental Laser,19910618,1986
Outback Steakhouse,19910618,1987
Genesis Health Ventures,19910619,1985
Lancit Media Productions,19910619,1979
Tanknology Environmental,19910619,1988
Coastal Healthcare Group,19910620,1977
Integrated Circuit Systems,19910620,1976
Medarex,19910620,1987
DeVry,19910621,1931
IDEXX Corp,19910621,1983
Regis,19910621,1954
Int'l Specialty Products,19910624,1991
AES,19910625,1981
Insignia Systems,19910625,1990
Mutual Risk Management,19910625,1977
Advanced Promotion Tech,19910626,1987
Calloway's Nursery,19910626,1986
RehabCare,19910626,1982
COR Therapeutics,19910627,1988
Riddell Sports,19910627,1929
Bertucci's,19910628,1984
Curative Technologies,19910628,1984
Fortis,19910628,1987
Fruehauf Trailer,19910628,1914
Future Now,19910628,1975
State Auto Financial,19910628,1950
ValueVision International,19910628,1990
Aspen Bancshares,19910702,1987
Revell-Monogram,19910710,1973
AMBAC,19910711,1971
Kaiser Aluminum,19910711,1940
Omega Environmental,19910711,1990
Software Spectrum,19910711,1983
American Biodyne,19910712,1985
IHOP,19910712,1958
InterWest Savings Bank,19910712,1956
Marvel Entertainment Group,19910715,1939
Alkermes,19910716,1987
Micronics Computers,19910717,1986
Osteotech,19910717,1986
Sun Television & Appliances,19910717,1949
Aerodyne Products,19910718,1976
Exel Limited,19910718,1986
Little Switzerland,19910718,1980
Teknekron Communications,19910718,1983
Enquirer/Star Group,19910719,1957
Meris Laboratories,19910719,1983
Avitar,19910722,1986
ReLife,19910723,1987
Catherines Stores,19910724,1960
Interstate Bakeries,19910724,1927
Koll Management Services,19910724,1988
Thermo Electron Technologies,19910724,1956
Vertex Pharmaceuticals,19910724,1989
Video Lottery Technologies,19910724,1985
GMIS,19910725,1984
R-Tek,19910726,1985
Monro Muffler Brake,19910729,1957
Progress Software,19910730,1981
Smart & Final,19910730,1984
Wellfleet Communications,19910730,1986
Dianon Systems,19910731,1983
Genetic Therapy,19910731,1986
AG Services of America,19910801,1985
Medicus Systems,19910801,1969
Singer NV,19910801,1851
Somatogen,19910802,1985
Biomatrix,19910806,1981
Cellular Technical Services Co,19910806,1988
MGIC Investment,19910806,1957
Oxford Health Plans,19910806,1984
Royal Appliance Manufacturing,19910806,1910
SyStemix,19910806,1988
Mediplex Group,19910807,1983
Mediware Information Systems,19910807,1976
Special Devices,19910807,1960
Capital Bancorporation,19910808,1983
Intergroup Healthcare,19910808,1982
Laser-Pacific Media,19910808,1983
PharmChem Laboratories,19910808,1971
Rogers Cantel Mobile Commun,19910808,1983
Candy's Tortilla Factory,19910809,1957
Restor Industries Inc,19910812,1983
Sheffield Industries,19910812,1955
American Healthcorp,19910813,1981
Licon International,19910813,1989
Liuski International,19910813,1984
Sybase,19910813,1984
Fischer Imaging,19910815,1973
International Testing Services,19910815,1985
Zebra Technologies,19910815,1969
BMC West,19910822,1915
Vans,19910822,1966
EZCORP,19910827,1976
FoxMeyer,19910829,1977
Magic Software Enterprises,19910829,1986
Mutual Assurance,19910904,1976
Saratoga Brands,19910904,1987
MedAmicus,19910906,1985
Treadco,19910912,1958
Trinity Capital Enterprise,19910912,1991
IDEC Pharmaceuticals Corp,19910916,1985
He-Ro Group,19910919,1981
Maxum Health,19910919,1989
Artisoft,19910920,1982
Government Technologies,19910920,1983
HoloPak Technologies,19910920,1979
Money Store,19910920,1967
Sepracor,19910920,1984
Technology Solutions,19910920,1988
Super Rite Corporation,19910923,1965
Bon-Ton Stores,19910924,1900
CellPro,19910924,1987
Mobley Environmental Services,19910924,1943
Ocean Optique Distributors,19910924,1988
General Physics,19910925,1966
MediVators,19910925,1985
Tecnol Medical Products,19910926,1976
Barra,19911001,1975
Paging Network,19911001,1981
York International Corporation,19911001,1900
MicroProse,19911003,1982
Sunrise Leasing,19911003,1989
Sunbelt Nursery Group,19911004,1919
ShopKo Stores,19911008,1961
Grand Casinos,19911009,1990
Medaphis,19911009,1985
Salton/Maxim Housewares,19911009,1947
Stewart Enterprises,19911009,1910
Anergen,19911010,1988
Body Drama,19911010,1985
Centigram Communications,19911010,1980
Megacards,19911010,1983
Presley,19911010,1956
Veterinary Centers of America,19911010,1986
RP Scherer,19911011,1944
Right Start,19911011,1985
Southwest Securities Group,19911011,1972
US Robotics,19911011,1976
Warnaco Group,19911011,1968
Koo Koo Roo,19911015,1987
Bio-Dyne,19911016,1979
Lannet Data Communications,19911016,1985
Health Care and Retirement,19911017,1944
Read-Rite,19911018,1981
Noise Com,19911021,1985
American BioMed,19911022,1984
Barefoot,19911023,1975
Gaylord Entertainment Company,19911024,1903
Old Dominion Freight Line,19911024,1934
United Wisconsin Services,19911024,1983
Century Federal Financial,19911025,1936
Goody's Family Clothing,19911025,1954
IMRS,19911025,1981
Mitek Surgical Products,19911025,1985
Sports/Leisure,19911028,1977
AutoCam,19911029,1988
Jenny Craig,19911029,1985
Sage Alerting Systems,19911029,1990
BET Holdings,19911030,1979
Hoenig Group,19911030,1991
Supercuts,19911030,1975
GranCare,19911031,1987
Alteon,19911101,1986
Marquette Electronics,19911101,1965
Custom Chrome Inc,19911105,1970
Advanced Interventional Sys,19911106,1986
DATEQ Information Network,19911106,1985
Interactive Network,19911106,1986
National Rehabilitation,19911106,1983
Athena Neurosciences,19911107,1986
Embrex,19911107,1985
NAMIC USA,19911107,1969
Vision Ten,19911107,1989
Alliance Imaging,19911108,1983
Amphenol,19911108,1932
Diversicare,19911108,1988
Wabash National,19911108,1985
Bally Gaming International,19911111,1964
Pacific Physician Services,19911111,1983
Bradley Pharmaceuticals,19911112,1985
ENVIRx,19911112,1988
Harmony Holdings,19911112,1982
"Healthcare Imaging Services,",19911112,1991
Guaranty National,19911113,1983
"LaserSight, Inc.",19911113,1988
Atlantic Tel-Network,19911114,1989
Biospecifics Technologies,19911114,1957
Horace Mann Educators,19911114,1945
ARI Network Services,19911115,1981
Checkers Drive-In Restaurants,19911115,1985
Joy Technologies,19911115,1939
ImClone Systems,19911118,1984
Gencare Health Systems,19911120,1985
Insurance Auto Auctions,19911120,1982
America Service Group,19911121,1990
Apple South,19911121,1986
Hamburger Hamlets Restaurants,19911121,1950
Information America,19911121,1982
Physicians Computer Network,19911121,1983
Cytel Corp,19911122,1987
Stop & Shop,19911122,1914
Broderbund Software,19911125,1981
Bachman Information Sys Inc,19911126,1983
SLM International,19911126,1976
World Acceptance,19911126,1962
Aames Financial,19911203,1954
Century Cellular Corp,19911203,1988
John B Sanfilippo & Son,19911203,1953
Conceptronic,19911204,1987
Financial Data Systems,19911204,1985
Intervisual Books,19911204,1975
Sam & Libby,19911204,1987
Peer Review Analysis,19911205,1984
Jansko,19911206,1990
Jimbo's Jumbos,19911206,1946
Retix Corp,19911209,1985
Epigen,19911210,1987
American Superconductor,19911211,1987
DNX,19911211,1988
Magainin Pharmaceuticals,19911211,1987
Owens-Illinois,19911211,1907
Vitesse Semiconductor Corp,19911211,1987
Ambar,19911212,1980
HealthTrust Inc-The Hospital,19911212,1985
Inforum,19911212,1987
Repossession Auction,19911212,1989
F&C International,19911213,1949
Internet Communications,19911213,1988
QUALCOMM,19911213,1985
Perrigo,19911216,1900
Affymax NV,19911217,1988
CompUSA,19911217,1984
Genta,19911217,1988
Tetra Tech,19911217,1966
Viewlogic Systems,19911217,1985
Fisher Scientific Intl,19911218,1902
Syquest Technology,19911218,1982
TRM Copy Centers,19911218,1981
Lakehead Pipe Line Prtnrs LP,19911219,1991
Perfumania,19911219,1988
Missimer & Associates,19911220,1976
Semiconductor Pkg Materials,19911220,1981
Bell Bancorp,19911223,1925
Pharmaceutical Marketing Svcs,19911223,1988
SBS Engineering,19920109,1986
Allied Healthcare Products,19920113,1979
CliniCorp,19920113,1982
Granite Broadcasting,19920114,1988
Industrial Holdings,19920115,1989
Amylin Pharmaceuticals,19920117,1987
Arch Communications Group,19920117,1986
CardioPulmonics,19920117,1985
Deprenyl USA,19920117,1991
Farrel,19920117,1900
Engle Homes,19920121,1969
Menley & James,19920121,1990
Odd's-N-End's,19920121,1983
Protein Polymer Technologies,19920121,1988
Spectranetics,19920121,1984
Abaxis,19920122,1989
CitFed Bancorp,19920122,1934
Gilead Sciences,19920122,1987
OTR Express,19920122,1985
PhyCor,19920122,1988
Ventritex,19920122,1985
Walker Power,19920122,1970
MedSonic,19920123,1959
Sphinx Pharmaceuticals,19920123,1987
Whole Foods Markets,19920123,1980
Target Therapeutics,19920124,1985
Fleet Call,19920127,1987
Matrix Pharmaceutical,19920128,1985
PCI Services,19920128,1971
Protein Design Labs,19920128,1986
Varsity Spirit,19920128,1974
AdvaCare,19920129,1986
Margaretten Financial,19920129,1920
National Re Holdings,19920129,1963
Noel Group,19920129,1969
Nutrition Management Services,19920129,1979
Corvas International,19920130,1987
ElectroCom Automation,19920130,1981
Infinity Broadcasting,19920130,1972
Olympic Financial,19920130,1990
Zynaxis,19920130,1987
Scotts,19920131,1900
Univax Biologics,19920204,1988
EcoScience,19920205,1982
Medical Diagnostics,19920205,1984
Sayett Group,19920205,1989
Dura Pharmaceuticals,19920206,1981
Integon,19920206,1920
Standish Care,19920206,1989
InfoNow,19920207,1990
Providential,19920210,1987
Defense Software & Systems,19920211,1979
Paracelsian,19920211,1991
Buttrey Food and Drug Stores,19920212,1900
Frame Technology,19920212,1986
International Jensen,19920212,1927
Roper Industries,19920212,1901
ShoLodge,19920212,1976
TNT Freightways,19920212,1984
Enhance Financial Services,19920213,1986
Intertape Polymer Group,19920213,1981
Living Centers of America,19920213,1977
Marcum Natural Gas Services,19920213,1991
Meadowbrook Rehabilitation Grp,19920213,1986
Providence Health Care,19920213,1970
Advantage Health,19920214,1982
Agridyne Technologies,19920214,1973
American Business Information,19920219,1972
Chemtrak,19920219,1985
Access Health Marketing,19920221,1986
North American Recycling,19920224,1974
Scholastic,19920224,1920
Litchfield Financial,19920225,1988
SPS Transaction Services,19920225,1985
Coleman,19920226,1910
Forstmann,19920226,1900
HCA-Hospital Corp of America,19920226,1968
I-Stat,19920226,1983
Musicland Stores,19920226,1977
Synopsys,19920226,1986
Callaway Golf,19920227,1982
Cross Timbers Royalty Trust,19920227,1991
LifeCell,19920227,1986
Abbey Healthcare Group,19920228,1924
Heart Technology,19920302,1989
Enhanced Imaging Technologies,19920303,1975
Toastmaster,19920303,1926
Vitalink Pharmacy Services,19920303,1967
Endosonics,19920304,1984
Foodmaker,19920304,1951
Opta Food Ingredients,19920304,1991
Premier Anesthesia,19920304,1988
BIOTIME,19920305,1990
DSG International,19920305,1973
Dames & Moore,19920305,1938
Delta Queen Steamboat,19920305,1926
Gibraltar Packaging Group,19920305,1967
PolyMedica Industries,19920305,1988
American Income Holdings,19920306,1954
Biosys,19920309,1983
Celox,19920309,1985
APPLIED LASER SYSTEMS,19920310,1987
United Retail Group,19920310,1987
Day Runner,19920311,1980
Valassis Communications,19920311,1970
Duff & Phelps,19920312,1932
El Paso Natural Gas,19920312,1928
Lone Star Steakhouse & Saloon,19920312,1989
Pet Products,19920312,1981
Back Bay Restaurants Group,19920313,1983
Cellcor,19920313,1986
Glacier Water Services,19920313,1983
First Western,19920317,1991
Health o meter Products,19920317,1919
SciClone Pharmaceuticals,19920317,1989
Fred's,19920318,1947
Serving Software,19920318,1984
Summit Care,19920318,1981
America Online,19920319,1985
Bisys Group,19920319,1966
Burlington Industries Equity,19920319,1923
Curaflex Health Services,19920319,1985
Lincare Holdings,19920319,1972
Telios Pharmaceuticals,19920319,1987
Triconex,19920319,1983
USA Truck,19920319,1983
Chronimed,19920320,1985
Schuler Homes,19920320,1988
Protocol Systems,19920324,1985
Coastal Banc Savings Assn,19920325,1954
Coltec Industries,19920325,1911
CytoTherapeutics,19920325,1988
DAMARK International,19920325,1986
Satellite Technology,19920325,1982
Walker Interactive Systems,19920325,1973
Avecor Cardiovascular,19920326,1977
Catalina Marketing,19920326,1983
Natural Earth Technologies,19920326,1990
Kendall Square Research,19920327,1986
Eskimo Pie,19920330,1921
Xircom,19920330,1988
Braun's Fashions,19920331,1956
Capitol Multimedia,19920331,1982
Chicago and North Western Hldg,19920331,1900
ICU Medical,19920331,1984
Longhorn Steaks,19920331,1981
M-Wave,19920331,1988
Sybron Chemical Industries,19920331,1965
Mohawk Industries,19920401,1920
Seragen,19920401,1979
ChipSoft,19920403,1984
NCI Building Systems,19920403,1984
Pomeroy Computer Resources,19920403,1981
ERO,19920407,1978
VideoTelecom,19920407,1986
Capital Re,19920408,1988
Bell Sports,19920409,1954
First Data,19920409,1978
Simula,19920413,1975
3CI Complete Compliance,19920414,1989
ADESA,19920414,1986
Affinity Biotech,19920414,1987
Men's Wearhouse,19920414,1973
Chromcraft Revington,19920415,1946
Kopin,19920415,1984
Option Care,19920415,1984
Princeton Dental Management,19920415,1986
Worthington Foods,19920415,1939
AGCO,19920416,1910
First Mortgage,19920416,1975
Teledata Communication,19920416,1981
CliniCom,19920420,1986
Software Etc Stores,19920422,1984
Sportstown,19920422,1987
Stein Mart,19920422,1910
Younkers,19920422,1900
Arcadian Partners LP,19920423,1990
Morningstar Group,19920424,1988
Orthofix International,19920424,1979
Ben Franklin Retail Stores,19920428,1900
International Family,19920428,1977
Learning,19920428,1980
Natural Child Care,19920428,1989
Premiere Radio Networks,19920428,1987
Solo Serve,19920428,1919
Galey & Lord,19920430,1980
Intermedia Communications,19920430,1987
On The Border Cafes,19920430,1982
Automotive Industries Holding,19920501,1975
Metricom,19920501,1985
MedQuist,19920504,1987
All For A Dollar,19920505,1990
Reliance Electric,19920505,1904
Buckle,19920506,1948
Lida,19920506,1970
Lukens Medical,19920506,1982
American Funeral Services,19920507,1985
Stac Electronics,19920507,1983
Sybron,19920507,1960
Valence Technology,19920507,1989
Network Imaging,19920508,1990
Universal Seismic Associates,19920511,1985
Dyersburg,19920512,1929
Arkansas Best,19920513,1935
Basin Exploration,19920513,1982
Bitwise Designs,19920513,1985
Natural Wonders,19920513,1986
TheraTech,19920513,1985
Biocircuits,19920514,1989
Enzymatics,19920514,1985
Krystal,19920514,1932
Ophthalmic Imaging Systems,19920514,1986
VMark Software,19920514,1984
Zam's,19920514,1988
Billy Blues Food,19920515,1991
SuperMac Technology,19920515,1988
Boston Scientific,19920518,1979
Cardiovascular Imaging Systems,19920518,1986
Imperial Credit Industries,19920518,1986
Kohl's,19920518,1967
John Nuveen,19920519,1900
National Vision Associates,19920519,1990
Holson Burnes Group,19920520,1942
International Fast Food,19920521,1991
Optical Data Systems,19920521,1983
Hall-Mark Electronics,19920522,1962
First USA,19920527,1985
Datawatch,19920528,1985
Financial Federal,19920528,1989
U.S. Physical Therapy,19920528,1990
PerSeptive Biosystems,19920529,1987
Sapiens International,19920529,1987
Steris,19920601,1985
Franklin Quest,19920602,1983
Rival,19920602,1932
Hook-SupeRx,19920603,1961
Quantum Restaurant Group,19920603,1988
Salem Sportswear,19920603,1981
United States Paging,19920603,1986
Bed Bath & Beyond,19920604,1971
Netframe Systems,19920604,1985
Network Computing Devices,19920604,1988
Today's Man,19920604,1971
Credit Acceptance,19920605,1972
DR Horton,19920605,1978
Kronos,19920605,1977
RehabClinics,19920605,1989
Arrow International,19920609,1975
Express Scripts,19920609,1986
Finish Line,19920609,1976
Intramed Laboratories,19920609,1987
Nyer Medical Group,19920609,1965
Universal Hospital Services,19920609,1939
General Instrument,19920610,1972
Laser Video Network,19920610,1991
Equitrac,19920611,1978
Broadway & Seymour,19920616,1981
Columbia Banking System,19920616,1988
Hampshire Group,19920617,1917
RT Industries,19920617,1992
Riverwood International,19920617,1923
Cone Mills,19920618,1900
CrossComm,19920618,1988
Tapistron International,19920624,1986
Winthrop Resources,19920624,1982
Authentic Fitness,19920625,1986
Energy Research,19920625,1969
Cholestech,19920626,1988
Regency Health Services,19920626,1986
Starbucks Coffee,19920626,1985
Ultramar,19920626,1961
MicroTouch Systems,19920630,1983
Bradlees,19920701,1961
Data Research Associates,19920701,1975
Rexnord,19920701,1900
Small's Oil Field Services,19920707,1991
North American Mortgage,19920708,1948
Matritech,19920709,1987
Argus Pharmaceutical,19920710,1986
Electronic Information Systems,19920710,1980
CCP Insurance,19920714,1937
Edusoft,19920714,1986
Eagle Hardware & Garden,19920715,1989
Equitable Companies,19920715,1900
Encore Wire,19920716,1989
Medrad,19920716,1964
Zoll Medical,19920716,1980
Ampex,19920717,1944
StrataCom,19920721,1986
First Pacific Networks,19920722,1987
GTECH Holdings,19920722,1980
Pyxis Corporation,19920722,1987
Megafoods Stores,19920724,1987
Austin's International,19920729,1991
Global Spill Management,19920729,1991
RHI Entertainment,19920729,1989
SOFTIMAGE,19920729,1986
Enron Liquids Pipeline,19920730,1986
Fleet Mortgage Group,19920731,1972
XXsys Technologies,19920731,1985
Creative Technology,19920803,1983
Hi-Tech Pharmacal,19920803,1983
Peak Technologies Group,19920804,1989
American Medical Response,19920805,1992
Medic Computer Systems,19920805,1982
Tadiran,19920805,1942
Banyan Systems,19920806,1983
Ezcony Interamerica,19920806,1982
Arbor National Holdings,19920807,1983
Kennedy-Wilson,19920807,1979
3Net Systems,19920810,1989
Blue Chip Computerware,19920811,1983
Envirogen,19920811,1988
Managed Health Benefits,19920811,1986
OnGard Systems,19920811,1989
Tops Appliance City,19920811,1970
Funco,19920812,1988
Value-Added Communications,19920812,1988
Bestop,19920813,1952
Integrated Process Equipment,19920813,1989
American Residential Holding,19920814,1983
Computervision,19920814,1972
Alden Press,19920818,1946
Discount Auto Parts,19920818,1972
Sunbeam-Oster,19920818,1900
Danskin,19920819,1986
Paco Pharmaceutical Services,19920819,1962
Amber's Stores,19920820,1984
BKC Semiconductors,19920820,1985
Layne,19920820,1900
Lifequest Medical,19920820,1988
Perceptron,19920820,1981
TelMed,19920820,1991
Swing-N-Slide,19920828,1979
D&K Wholesale Drug,19920901,1966
R2 Medical Systems,19920901,1987
Medical Resources,19920903,1979
Intelligent Surgical Laser,19920911,1987
CPI Aerostructures,19920916,1980
Sports & Recreation,19920916,1988
American Studios,19920917,1982
Cheesecake Factory,19920917,1972
American Insurance Group,19920922,1930
Life Medical Sciences,19920922,1990
Netrix,19920922,1985
On Assignment,19920922,1985
Tommy Hilfiger,19920922,1982
BLADEX,19920924,1978
DeWolfe,19920924,1949
F & M Distributors,19920924,1955
John Alden Financial,19920925,1961
USX-Delhi Group,19920925,1901
Universal Standard Med Labs,19920925,1985
Caraustar Industries,19921001,1938
Just Toys,19921001,1989
Nu-Kote Holding,19921001,1986
Electronics for Imaging,19921002,1988
Plaza Home Mortgage,19921002,1985
Sportmart,19921005,1971
4th Dimension Software,19921006,1983
McAfee Associates,19921006,1989
Microtek Medical,19921006,1984
Data Race,19921007,1983
IVF America,19921008,1985
Peachtree Fiberoptics,19921008,1992
Brilliance China Automotive,19921009,1975
Todhunter International,19921013,1970
Copley Pharmaceutical,19921014,1972
IQ Software,19921015,1984
Alpha-Beta Technology,19921016,1988
Fritz Companies,19921016,1933
Taco Cabana,19921016,1977
Acordia,19921020,1989
Brooktrout Technology,19921020,1984
Corel,19921020,1985
Health Image Media,19921020,1992
Voice Powered Technology Intl,19921020,1985
Kemet,19921021,1926
Central Mortgage Bancshares,19921022,1960
Consumer Portfolio Services,19921022,1991
ECO2,19921022,1991
ImageAmerica,19921022,1982
Olicom,19921022,1985
Physicians Clinical Laboratory,19921022,1986
Platinum Software,19921022,1984
"Sterling Bancshares, Inc",19921022,1980
Boomtown,19921023,1987
Casino Magic,19921023,1990
Citation Computer Systems,19921023,1979
Future HealthCare,19921023,1985
Minerals Technologies,19921023,1968
New World Power,19921023,1989
Life Re,19921027,1967
HCC Insurance Holdings,19921028,1974
Ha-Lo Industries,19921028,1972
Patterson Dental,19921028,1900
PennCorp Financial Group,19921029,1968
Rottlund,19921029,1973
CMAC Investment,19921030,1977
Microtest,19921030,1984
